product_id,product_name,brand,category,sub_category,price,rating,review_count,stock_status,tags,description
1,Organic Whole Milk,FreshFarm,Groceries,Dairy,4.99,4.6,320,In Stock,"milk|organic|dairy","Fresh organic whole milk sourced from local farms."
2,Bluetooth Wireless Headphones,TechNova,Electronics,Audio,59.99,4.4,210,In Stock,"audio|wireless|music","High-quality wireless headphones with noise isolation."
3,Cotton Casual T-Shirt,UrbanWear,Clothing,Tops,12.99,4.2,150,In Stock,"clothing|casual|cotton","Comfortable cotton t-shirt for everyday wear."
4,Non-Stick Cooking Pan,HomeEase,Home & Kitchen,Cookware,24.99,4.5,180,In Stock,"kitchen|cookware|pan","Durable non-stick pan for easy cooking and cleaning."
5,Vitamin C Tablets,PureCare,Personal Care,Supplements,9.99,4.3,95,In Stock,"health|vitamin|supplement","Daily vitamin C tablets to support immunity."
6,Running Shoes,ActivePro,Sports & Outdoors,Footwear,79.99,4.6,260,In Stock,"running|shoes|fitness","Lightweight running shoes designed for comfort and performance."
7,Almond Snack Pack,FreshFarm,Groceries,Snacks,6.49,4.5,130,In Stock,"snack|healthy|nuts","Crunchy roasted almonds perfect for snacking."
8,Smart LED TV 40-inch,TechNova,Electronics,TV & Video,299.99,4.4,310,In Stock,"tv|smart|electronics","Full HD smart TV with streaming apps built-in."
9,Denim Jeans,UrbanWear,Clothing,Bottoms,29.99,4.3,200,In Stock,"jeans|denim|clothing","Classic fit denim jeans for everyday style."
10,Blender Mixer,HomeEase,Home & Kitchen,Appliances,49.99,4.2,170,In Stock,"blender|kitchen|appliance","Powerful blender for smoothies and food prep."
11,Face Moisturizer Cream,PureCare,Personal Care,Skincare,14.99,4.4,120,In Stock,"skincare|moisturizer|beauty","Hydrating face cream for daily skincare routine."
12,Yoga Mat,ActivePro,Sports & Outdoors,Fitness,19.99,4.5,145,In Stock,"yoga|fitness|exercise","Non-slip yoga mat for home workouts."
13,Whole Wheat Bread,FreshFarm,Groceries,Bakery,3.49,4.3,110,In Stock,"bread|bakery|healthy","Freshly baked whole wheat bread."
14,Portable Power Bank,TechNova,Electronics,Accessories,25.99,4.4,190,In Stock,"battery|portable|charging","Compact power bank for charging devices on the go."
15,Hooded Sweatshirt,UrbanWear,Clothing,Outerwear,34.99,4.5,175,In Stock,"hoodie|clothing|warm","Warm and comfortable hoodie for casual wear."
16,Vacuum Cleaner,HomeEase,Home & Kitchen,Cleaning,89.99,4.3,220,In Stock,"vacuum|cleaning|home","High suction vacuum cleaner for efficient cleaning."
17,Shampoo & Conditioner Set,PureCare,Personal Care,Haircare,18.99,4.4,140,In Stock,"haircare|shampoo|conditioner","Nourishing shampoo and conditioner set."
18,Dumbbell Set,ActivePro,Sports & Outdoors,Fitness,39.99,4.6,210,In Stock,"weights|fitness|gym","Adjustable dumbbell set for strength training."
19,Granola Bars Pack,FreshFarm,Groceries,Snacks,5.99,4.2,90,In Stock,"snack|granola|energy","Healthy granola bars for quick energy."
20,Laptop 14-inch,TechNova,Electronics,Computers,599.99,4.5,275,In Stock,"laptop|electronics|work","Lightweight laptop suitable for work and study."